 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
384	ADAM17	NOTCH1	a disintegrin and metalloprotease domain 17	notch1 preproprotein	Plasma membrane	Cell surface///Nucleus	Plasma membrane	Nucleus///Cytosol	10882063///9620803	04330_Notch signaling pathway_	 activation																								
3982	ADIPOQ	ADIPOR2	adiponectin precursor	adiponectin receptor 2	Extracellular	---	Plasma membrane	---	12802337	04920_Adipocytokine signaling pathway_	 activation																								
3724	ALCAM	CD6	activated leukocyte cell adhesion molecule	CD6 molecule	Plasma membrane	Cytoplasm	Plasma membrane	---	9436462///7543097	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
3994	AMH	AMHR2	anti-Mullerian hormone	"anti-Mullerian hormone receptor, type II"	Extracellular	Cytoplasm	Plasma membrane	---	8889695	04350_TGF-beta signaling pathway_	 activation	04060_Cytokine-cytokine receptor interaction_	 activation																						
2534	AREG	EGFR	amphiregulin preproprotein	epidermal growth factor receptor isoform a	Plasma membrane	---	Plasma membrane	Endosome///Clathrin-coated vesicle///Cytoplasm	10085134	04012_ErbB signaling pathway_	 activation																								
1227	AVP	AVPR2	arginine vasopressin-neurophysin II	arginine vasopressin receptor 2 isoform 2	Extracellular	Nucleus	Plasma membrane	---	11857925	04962_Vasopressin-regulated water reabsorption_	 activation																								
3236	BMP2	ACVR1	bone morphogenetic protein 2 preproprotein	"activin A receptor, type I precursor"	Extracellular	---	Plasma membrane	---	8006002	04060_Cytokine-cytokine receptor interaction_	 activation																								
3204	BMP2	BMPR1A	bone morphogenetic protein 2 preproprotein	"bone morphogenetic protein receptor, type IA"	Extracellular	---	Plasma membrane	Cytoplasm	11263668///10881198///10692589///15064755	04060_Cytokine-cytokine receptor interaction_	 activation																								
3200	BMP2	BMPR1B	bone morphogenetic protein 2 preproprotein	"bone morphogenetic protein receptor, type IB"	Extracellular	---	Plasma membrane	---	7811286///9872992///15064755	04060_Cytokine-cytokine receptor interaction_	 activation																								
2867	BMP2	BMPR2	bone morphogenetic protein 2 preproprotein	bone morphogenetic protein receptor type II	Extracellular	---	Plasma membrane	---	10880444	04350_TGF-beta signaling pathway_	 activation	04060_Cytokine-cytokine receptor interaction_	 activation																						
